service,...1,Value,Percentage,service_long
AAG_TUC,1,1,0.316455696202532,Technology_used_in_courses_and_classrooms
AAG_TUC,2,2,4.11392405063291,How_much_do_the_following_contribute_to_the_achievement_of_your_academic_goals?_-_Technology_used_in_courses_and_classrooms
AAG_TUC,3,3,24.6835443037975,How_much_do_the_following_contribute_to_the_achievement_of_your_academic_goals?_-_Technology_used_in_courses_and_classrooms
AAG_TUC,4,4,70.8860759493671,How_much_do_the_following_contribute_to_the_achievement_of_your_academic_goals?_-_Technology_used_in_courses_and_classrooms
ADIV,1,10200,6.20915032679739,What_is_your_primary_academic_division?
ADIV,2,30100,15.0326797385621,What_is_your_primary_academic_division?
ADIV,3,30900,2.61437908496732,What_is_your_primary_academic_division?
ADIV,4,31000,2.2875816993464,What_is_your_primary_academic_division?
ADIV,5,40200,28.1045751633987,What_is_your_primary_academic_division?
ADIV,6,50300,34.3137254901961,What_is_your_primary_academic_division?
ADIV,7,100800,11.437908496732,What_is_your_primary_academic_division?
AP_GAIT,1,1,4.98442367601246,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)
AP_GAIT,2,2,13.7071651090343,Generative_AI_tools_
AP_GAIT,3,3,23.3644859813084,Generative_AI_tools_
AP_GAIT,4,4,18.6915887850467,Generative_AI_tools_
AP_GAIT,5,5,3.11526479750779,Generative_AI_tools_
AP_GAIT,6,9,36.1370716510903,Generative_AI_tools_
DS_AWAC,1,1,0.974025974025974,Availability_of_wireless_access_on_campus
DS_AWAC,2,2,9.41558441558442,Availability_of_wireless_access_on_campus
DS_AWAC,3,3,30.5194805194805,Availability_of_wireless_access_on_campus
DS_AWAC,4,4,59.0909090909091,Availability_of_wireless_access_on_campus
DS_BL,1,1,1.40845070422535,Borrowing_laptops
DS_BL,2,2,4.22535211267606,Borrowing_laptops
DS_BL,3,3,22.5352112676056,Borrowing_laptops
DS_BL,4,4,71.830985915493,Borrowing_laptops
DS_BTE,1,1,0.552486187845304,Borrowing_technology_equipment
DS_BTE,2,2,2.20994475138122,Borrowing_technology_equipment
DS_BTE,3,3,23.7569060773481,Borrowing_technology_equipment
DS_BTE,4,4,73.4806629834254,Borrowing_technology_equipment
DS_CFCPS,1,1,0.921658986175115,Technology_help_desk_schedule
DS_CFCPS,2,2,5.99078341013825,Technology_help_desk_schedule
DS_CFCPS,3,3,27.6497695852535,Technology_help_desk_schedule
DS_CFCPS,4,4,65.4377880184332,Technology_help_desk_schedule
DS_CMS,1,1,0.309597523219814,Canvas
DS_CMS,2,2,2.78637770897833,Canvas
DS_CMS,3,3,17.3374613003096,Canvas
DS_CMS,4,4,79.5665634674923,Canvas
DS_CMSAS,1,1,0.638977635782748,Canvas_assignment_submission
DS_CMSAS,2,2,1.91693290734824,Canvas_assignment_submission
DS_CMSAS,3,3,19.1693290734824,Canvas_assignment_submission
DS_CMSAS,4,4,78.2747603833866,Canvas_assignment_submission
DS_CMSGB,1,1,3.63036303630363,Canvas_grade_book
DS_CMSGB,2,2,9.9009900990099,Canvas_grade_book
DS_CMSGB,3,3,24.4224422442244,Canvas_grade_book
DS_CMSGB,4,4,62.046204620462,Canvas_grade_book
DS_CMSOQ,1,1,0.348432055749129,Canvas_online_quizzes
DS_CMSOQ,2,2,6.96864111498258,Canvas_online_quizzes
DS_CMSOQ,3,3,25.4355400696864,Canvas_online_quizzes
DS_CMSOQ,4,4,67.2473867595819,Canvas_online_quizzes
DS_FPC,1,1,1.74672489082969,Technology_help_desk
DS_FPC,2,2,6.55021834061135,Technology_help_desk
DS_FPC,3,3,25.764192139738,Technology_help_desk
DS_FPC,4,4,65.938864628821,Technology_help_desk
DS_GAIT,1,1,5.06912442396313,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
DS_GAIT,2,2,15.668202764977,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
DS_GAIT,3,3,35.4838709677419,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
DS_GAIT,4,4,43.778801843318,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
DS_GSSL,1,1,0.671140939597315,Group_study_spaces_in_the_library
DS_GSSL,2,2,2.3489932885906,Group_study_spaces_in_the_library
DS_GSSL,3,3,22.8187919463087,Group_study_spaces_in_the_library
DS_GSSL,4,4,74.1610738255034,Group_study_spaces_in_the_library
DS_ILL,1,2,5.71428571428571,Interlibrary_loan
DS_ILL,2,3,24.8979591836735,Interlibrary_loan
DS_ILL,3,4,69.3877551020408,Interlibrary_loan
DS_LC,1,1,0.754716981132076,Physical_library_collections
DS_LC,2,2,6.41509433962264,Physical_library_collections
DS_LC,3,3,27.9245283018868,Physical_library_collections
DS_LC,4,4,64.9056603773585,Physical_library_collections
DS_LDB,1,1,0.662251655629139,Library_databases_(e.g._JSTOR)
DS_LDB,2,2,2.64900662251656,Library_databases_(e.g._JSTOR)
DS_LDB,3,3,21.523178807947,Library_databases_(e.g._JSTOR)
DS_LDB,4,4,75.1655629139073,Library_databases_(e.g._JSTOR)
DS_LDL,1,1,0.900900900900901,LibrarySearch_(go_primo)
DS_LDL,2,2,8.10810810810811,LibrarySearch_(go_primo)
DS_LDL,3,3,34.6846846846847,LibrarySearch_(go_primo)
DS_LDL,4,4,56.3063063063063,LibrarySearch_(go_primo)
DS_LEC,1,1,0.37037037037037,Library_e-book_collections
DS_LEC,2,2,7.77777777777778,Library_e-book_collections
DS_LEC,3,3,30.7407407407407,Library_e-book_collections
DS_LEC,4,4,61.1111111111111,Library_e-book_collections
DS_LIAC,1,1,1.47058823529412,Library_research_instruction_for_academic_courses
DS_LIAC,2,2,9.19117647058824,Library_research_instruction_for_academic_courses
DS_LIAC,3,3,38.9705882352941,Library_research_instruction_for_academic_courses
DS_LIAC,4,4,50.3676470588235,Library_research_instruction_for_academic_courses
DS_LRS,1,1,0.363636363636364,Library_reference_research_services
DS_LRS,2,2,4,Library_reference_research_services
DS_LRS,3,3,35.2727272727273,Library_reference_research_services
DS_LRS,4,4,60.3636363636364,Library_reference_research_services
DS_LSG,1,1,0.970873786407767,Library_Subject_Guides_(go_guides)
DS_LSG,2,2,7.76699029126214,Library_Subject_Guides_(go_guides)
DS_LSG,3,3,36.8932038834951,Library_Subject_Guides_(go_guides)
DS_LSG,4,4,54.368932038835,Library_Subject_Guides_(go_guides)
DS_OLS,1,1,0.32051282051282,Overall_library_service
DS_OLS,2,2,0.641025641025641,Overall_library_service
DS_OLS,3,3,18.9102564102564,Overall_library_service
DS_OLS,4,4,80.1282051282051,Overall_library_service
DS_PWAC,1,1,2.26537216828479,Performance_of_wireless_access_on_campus
DS_PWAC,2,2,12.9449838187702,Performance_of_wireless_access_on_campus
DS_PWAC,3,3,35.5987055016181,Performance_of_wireless_access_on_campus
DS_PWAC,4,4,49.1909385113269,Performance_of_wireless_access_on_campus
DS_SGAIT,1,1,8.80829015544041,Support_for_the_use_of_Generative_AI_Tools_(e.g.__ChatGPT__Bard__ChatPDF)
DS_SGAIT,2,2,21.7616580310881,Support_for_the_use_of_Generative_AI_Tools_(e.g.__ChatGPT__Bard__ChatPDF)
DS_SGAIT,3,3,31.0880829015544,Support_for_the_use_of_Generative_AI_Tools_(e.g.__ChatGPT__Bard__ChatPDF)
DS_SGAIT,4,4,38.3419689119171,Support_for_the_use_of_Generative_AI_Tools_(e.g.__ChatGPT__Bard__ChatPDF)
IMP_AWAC,1,1,3.33333333333333,Availability_of_wireless_access_on_campus
IMP_AWAC,2,2,3.93939393939394,Availability_of_wireless_access_on_campus
IMP_AWAC,3,3,15.4545454545455,Availability_of_wireless_access_on_campus
IMP_AWAC,4,4,77.2727272727273,Availability_of_wireless_access_on_campus
IMP_BL,1,1,38.7543252595156,Borrowing_laptops
IMP_BL,2,2,26.643598615917,Borrowing_laptops
IMP_BL,3,3,20.4152249134948,Borrowing_laptops
IMP_BL,4,4,14.1868512110727,Borrowing_laptops
IMP_BTE,1,1,28.2392026578073,Borrowing_technology_equipment
IMP_BTE,2,2,30.2325581395349,Borrowing_technology_equipment
IMP_BTE,3,3,27.5747508305648,Borrowing_technology_equipment
IMP_BTE,4,4,13.953488372093,Borrowing_technology_equipment
IMP_CFCPS,1,1,21.656050955414,Technology_help_desk_schedule
IMP_CFCPS,2,2,33.4394904458599,Technology_help_desk_schedule
IMP_CFCPS,3,3,27.3885350318471,Technology_help_desk_schedule
IMP_CFCPS,4,4,17.515923566879,Technology_help_desk_schedule
IMP_CLS,1,1,11.5151515151515,The_library_schedule
IMP_CLS,2,2,25.4545454545455,The_library_schedule
IMP_CLS,3,3,31.8181818181818,The_library_schedule
IMP_CLS,4,4,31.2121212121212,The_library_schedule
IMP_CMS,1,2,1.78041543026706,Canvas
IMP_CMS,2,3,12.1661721068249,Canvas
IMP_CMS,3,4,86.053412462908,Canvas
IMP_CMSAS,1,1,1.21580547112462,Canvas_assignment_submission
IMP_CMSAS,2,2,4.25531914893617,Canvas_assignment_submission
IMP_CMSAS,3,3,20.6686930091185,Canvas_assignment_submission
IMP_CMSAS,4,4,73.8601823708207,Canvas_assignment_submission
IMP_CMSGB,1,1,9.11854103343465,Canvas_grade_book
IMP_CMSGB,2,2,13.3738601823708,Canvas_grade_book
IMP_CMSGB,3,3,24.3161094224924,Canvas_grade_book
IMP_CMSGB,4,4,53.1914893617021,Canvas_grade_book
IMP_CMSOQ,1,1,16.6144200626959,Canvas_online_quizzes
IMP_CMSOQ,2,2,24.4514106583072,Canvas_online_quizzes
IMP_CMSOQ,3,3,26.3322884012539,Canvas_online_quizzes
IMP_CMSOQ,4,4,32.6018808777429,Canvas_online_quizzes
IMP_FPC,1,1,15,Technology_help_desk
IMP_FPC,2,2,30.625,Technology_help_desk
IMP_FPC,3,3,33.4375,Technology_help_desk
IMP_FPC,4,4,20.9375,Technology_help_desk
IMP_GAIT,1,1,42.0062695924765,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
IMP_GAIT,2,2,31.6614420062696,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
IMP_GAIT,3,3,14.1065830721003,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
IMP_GAIT,4,4,12.2257053291536,Generative_AI_tools_(e.g.__ChatGPT__Bard__ChatPDF)_for_academic_or_work_purposes
IMP_GSSL,1,1,6.13496932515337,Group_study_spaces_in_the_library
IMP_GSSL,2,2,16.5644171779141,Group_study_spaces_in_the_library
